date,fetchedAt,tradeDate,marketStatus,indexName,last,open,high,low,previousClose,change,percentChange,totalTradedValue,totalTradedVolume,ffmcSum
2026-05-06,2026-05-06T11:01:01.112Z,06-May-2026 16:00:00,Closed,NIFTY 50,24330.95,24171,24356.5,23997.9,24032.8,298.15000000000146,1.24,388266382111.24,429190144,1113633655.01
2026-05-08,2026-05-08T10:29:01.014Z,08-May-2026 15:58:51,Closed,NIFTY 50,24176.15,24233.65,24253.8,24126.65,24326.65,-150.5,-0.62,312166075979.54,335882669,1106394817.5
2026-05-11,2026-05-11T12:58:25.596Z,11-May-2026 16:00:00,Closed,NIFTY 50,23815.85,23970.1,23997.45,23799.1,24176.15,-360.3000000000029,-1.49,374040891161.35,390108343,1089906734.21
2026-05-12,2026-05-12T10:30:00.891Z,12-May-2026 15:59:25,Closed,NIFTY 50,23379.55,23722.6,23757.55,23348.4,23815.85,-436.2999999999993,-1.83,362001177099.43,447512830,1072026019.19
2026-05-13,2026-05-13T10:30:00.631Z,13-May-2026 15:59:10,Closed,NIFTY 50,23412.6,23362.45,23582.95,23262.55,23379.55,33.04999999999927,0.14,336931864627.76,415356664,1072042708.95
2026-05-14,2026-05-15T08:13:00.876Z,15-May-2026 13:42:22,Closed,NIFTY 50,23729.15,23731.4,23839.3,23663.35,23689.6,39.55000000000291,0.17,224262662941.87,263890369,1086043847.57
2026-05-15,2026-05-15T10:30:00.835Z,15-May-2026 15:59:03,Closed,NIFTY 50,23643.5,23731.4,23839.3,23610.3,23689.6,-46.099999999998545,-0.19,350520721244.57,408863378,1082605305.51
2026-05-18,2026-05-18T10:30:00.663Z,18-May-2026 15:59:59,Closed,NIFTY 50,23649.95,23482.2,23695.65,23317.1,23643.5,6.450000000000728,0.03,300287670653.66,391967324,1081931311.2
2026-05-19,2026-05-19T10:30:00.880Z,19-May-2026 16:00:00,Closed,NIFTY 50,23618,23675.3,23782.3,23587.2,23649.95,-31.950000000000728,-0.14,393253663404.16,441951671,1080124012.91
2026-05-20,2026-05-20T10:30:00.759Z,20-May-2026 15:59:36,Closed,NIFTY 50,23659,23457.25,23690.9,23397.3,23618,41,0.17,261635210712.02,344049534,1082821527.8
