date,archiveFile,lastModified,summary,tradedValueCrores,tradedQuantityLakhs,numberOfTrades,totalMarketCapitalisationCrores,ffmcCrores,fiiDiiDate,fiiNetCrores,diiNetCrores
08-May-2026,MA080526.csv,"Fri, 08 May 2026 11:14:03 GMT",The Nifty witnessed an intraday movement of about 127.15 points.The closing index was 0.62 % down as compared to the previous closing index.,147669.21,51591.02,41122363,47362819.02,11063948.175,07-May-2026,-340.89,441.07
11-May-2026,MA110526.csv,"Mon, 11 May 2026 11:16:03 GMT",The Nifty witnessed an intraday movement of about 198.35 points.The closing index was 1.49 % down as compared to the previous closing index.,138987.18,66521.49,43253759,46719544.07,10899067.3421,11-May-2026,-8437.56,5939.65
12-May-2026,MA120526.csv,"Tue, 12 May 2026 11:15:03 GMT",The Nifty witnessed an intraday movement of about 409.15 points.The closing index was 1.83 % down as compared to the previous closing index.,144731.74,62038.21,43456783,45627317.18,10720260.1919,11-May-2026,-8437.56,5939.65
13-May-2026,MA130526.csv,"Wed, 13 May 2026 11:14:02 GMT",The Nifty witnessed an intraday movement of about 320.4 points.The closing index was 0.14 % up as compared to the previous closing index.,138604.95,65977.34,42195360,45856145.45,10720427.0895,12-May-2026,-1959.39,7990.32
14-May-2026,MA140526.csv,"Thu, 14 May 2026 11:16:03 GMT",The Nifty witnessed an intraday movement of about 350.65 points.The closing index was 1.18 % up as compared to the previous closing index.,143017.67,56660.91,41039788,46314686.20,10860438.475699998,14-May-2026,187.46,684.33
